Albania;Albanian;2845955;Sunni Islam;4.2594e+10;28748;Tirana
Austria;Austrian German;8935112;Roman Catholicism;4.61432e+11;83879;Vienna
Belarus;Belarusian;9349645;Orthodox Christianity;1.85889e+11;207595;Minsk
Belgium;Dutch;11492641;Roman Catholicism;5.78e+11;30689;Brussels
Bosnia-Herzegovina;Bosnian;3332593;Non-denominational Islam;5.1996e+10;51129;Sarajevo
Bulgaria;Bulgarian;6916548;Orthodox Christianity;1.74998e+11;110993;Sofia
Croatia;Croatian;4058165;Roman Catholicism;1.17928e+11;56594;Zagreb
Cyprus;Greek;1189265;Orthodox Christianity;3.597e+10;9251;Nicosia
Czech Republic;Czech;10707839;Secularism;4.32346e+11;78866;Prague
Denmark;Danish;5843347;Evangelical Lutheranism;2.99e+11;42933;Copenhagen
England;English;56286961;Protestant Christianity;2.4e+12;130279;London
Estonia;Estonian;1330068;Secularism;4.9644e+10;45339;Tallinn
Finland;Finnish;5536146;Evangelical Lutheranism;2.57e+11;338455;Helsinki
France;French;67413000;Roman Catholicism;2.954e+12;640679;Paris
Germany;German;83166711;Protestant Christianity;4.743e+12;357022;Berlin
Greece;Greek;10718565;Orthodox Christianity;3.10743e+11;131957;Athens
Hungary;Hungarian;9730000;Roman Catholicism;3.16342e+11;93030;Budapest
Iceland;Icelandic;364134;Evangelical Lutheranism;1.98e+10;102775;Reykjavik
Italy;Italian;60317116;Roman Catholicism;2.61e+12;301340;Rome
Kosovo;Albanian;1873160;Sunni Islam;2.3524e+10;10887;Pristina
Latvia;Latvian;1907675;Evangelical Lutheranism;6.3539e+10;64589;Riga
Lithuania;Lithuanian;2793694;Roman Catholicism;1.07e+11;65300;Vilnius
Luxembourg;Luxembourgish;633622;Roman Catholicism;6.6848e+10;2586.4;Luxembourg City
Malta;Maltese;514564;Roman Catholicism;2.2802e+10;316;Valleta
Moldova;Romanian;2640438;Orthodox Christianity;3.5906e+10;33846;Chisinau
Monaco;French;38300;Roman Catholicism;7.612e+09;2.1;Monaco
Montenegro;Serbian;621873;Orthodox Christianity;1.2e+10;13812;Podgorica
Netherlands;Dutch;17469635;Secularism;1.055e+12;41865;Amsterdam
North Macedonia;Macedonian;2077132;Orthodox Christianity;1.2383e+10;25713;Skopje
Northern Ireland;Irish;1893700;Protestant Christianity;4.6e+10;14130;Belfast
Norway;Norwegian;5391369;Evangelical Lutheranism;3.5e+11;385207;Oslo
Poland;Polish;38268000;Roman Catholicism;1.363e+12;312696;Warsaw
Portugal;Portuguese;10295909;Roman Catholicism;3.705e+11;92212;Lisbon
Republic of Ireland;Irish;4977400;Roman Catholicism;5e+11;70273;Dublin
Romania;Romanian;19317984;Orthodox Christianity;6.36481e+11;238397;Bucharest
Russia;Russian;146171015;Orthodox Christianity;4.328e+12;1.70982e+07;Moscow
Scotland;Scottish Gaelic;5463300;Protestant Christianity;2.05e+11;77933;Edinburgh
Serbia;Serbian;6926705;Orthodox Christianity;1.306e+11;88361;Belgrade
Slovakia;Slovak;5464060;Roman Catholicism;1.90277e+11;49035;Bratislava
Slovenia;Slovene;2108977;Roman Catholicism;8.3e+10;20271;Ljubljana
Spain;Spanish;47450795;Roman Catholicism;1.942e+12;505990;Madrid
Sweden;Swedish;10385347;Evangelical Lutheranism;5.63882e+11;450295;Stockholm
Switzerland;German;8570146;Roman Catholicism;5.84e+11;41285;Bern (de facto)
Ukraine;Ukrainian;41487960;Orthodox Christianity;4.29947e+11;603628;Kyiv
Wales;Welsh;3153000;Protestant Christianity;1.05918e+11;20779;Cardiff
