England,English,56286961,Protestant Christianity,2400000000000,130279,London
Wales,Welsh,3153000,Protestant Christianity,105918000000,20779,Cardiff,
Northern Ireland,Irish,1893700,Protestant Christianity,46000000000,14130,Belfast
Scotland,Scottish Gaelic,5463300,Protestant Christianity,205000000000,77933,Edinburgh
Republic of Ireland,Irish,4977400,Roman Catholicism,500000000000,70273,Dublin
France,French,67413000,Roman Catholicism,2954000000000,640679,Paris
Belgium,Dutch,11492641,Roman Catholicism,578000000000,30689,Brussels
Netherlands,Dutch,17469635,Secularism,1055000000000,41865,Amsterdam
Monaco,French,38300,Roman Catholicism,7612000000,2.1,Monaco
Portugal,Portuguese,10295909,Roman Catholicism,370500000000,92212,Lisbon
Spain,Spanish,47450795,Roman Catholicism,1942000000000,505990,Madrid
Italy,Italian,60317116,Roman Catholicism,2610000000000,301340,Rome
Malta,Maltese,514564,Roman Catholicism,22802000000,316,Valleta
Germany,German,83166711,Protestant Christianity,4743000000000,357022,Berlin
Luxembourg,Luxembourgish,633622,Roman Catholicism,66848000000,2586.40,Luxembourg City
Switzerland,German,8570146,Roman Catholicism,584000000000,41285,Bern (de facto)
Austria,Austrian German,8935112,Roman Catholicism,461432000000,83879,Vienna
Slovenia,Slovene,2108977,Roman Catholicism,83000000000,20271,Ljubljana
Croatia,Croatian,4058165,Roman Catholicism,117928000000,56594,Zagreb
Hungary,Hungarian,9730000,Roman Catholicism,316342000000,93030,Budapest
Slovakia,Slovak,5464060,Roman Catholicism,190277000000,49035,Bratislava
Czech Republic,Czech,10707839,Secularism,432346000000,78866,Prague
Poland,Polish,38268000,Roman Catholicism,1363000000000,312696,Warsaw
Lithuania,Lithuanian,2793694,Roman Catholicism,107000000000,65300,Vilnius
Latvia,Latvian,1907675,Evangelical Lutheranism,63539000000,64589,Riga
Iceland,Icelandic,364134,Evangelical Lutheranism,19800000000,102775,Reykjavik
Norway,Norwegian,5391369,Evangelical Lutheranism,350000000000,385207,Oslo
Sweden,Swedish,10385347,Evangelical Lutheranism,563882000000,450295,Stockholm
Denmark,Danish,5843347,Evangelical Lutheranism,299000000000,42933,Copenhagen
Estonia,Estonian,1330068,Secularism,49644000000,45339,Tallinn
Finland,Finnish,5536146,Evangelical Lutheranism,257000000000,338455,Helsinki
Russia,Russian,146171015,Orthodox Christianity,4328000000000,17098246,Moscow
Belarus,Belarusian,9349645,Orthodox Christianity,185889000000,207595,Minsk
Ukraine,Ukrainian,41487960,Orthodox Christianity,429947000000,603628,Kyiv
Bosnia-Herzegovina,Bosnian,3332593,Non-denominational Islam,51996000000,51129,Sarajevo
Serbia,Serbian,6926705,Orthodox Christianity,130600000000,88361,Belgrade
Albania,Albanian,2845955,Sunni Islam,42594000000,28748,Tirana
Greece,Greek,10718565,Orthodox Christianity,310743000000,131957,Athens
North Macedonia,Macedonian,2077132,Orthodox Christianity,12383000000,25713,Skopje
Bulgaria,Bulgarian,6916548,Orthodox Christianity,174998000000,110993,Sofia
Romania,Romanian,19317984,Orthodox Christianity,636481000000,238397,Bucharest
Moldova,Romanian,2640438,Orthodox Christianity,35906000000,33846,Chisinau
Cyprus,Greek,1189265,Orthodox Christianity,35970000000,9251,Nicosia
Kosovo,Albanian,1873160,Sunni Islam,23524000000,10887,Pristina
Montenegro,Montenegrin,621873,Orthodox Christianity,12000000000,13812,Podgorica
